,facility_name,facility_address,rating
162,JAM,3981 W 6TH ST,3.5
163,JAMBA JUICE #527,2919 LOS FELIZ BLVD STE 2,
164,PANDA EXPRESS #1212,5543 W SUNSET BLVD,
165,MARISCOS EL CAMARON PELADO RESTAURANT,2676 PASADENA AVE,
166,FRESH AND MEATY BURGERS,3016 W FLORENCE AVE,3.0
168,HAYATO,1320 E 7TH ST # 126,5.0
169,INK SACK,380 WORLD WAY T48,
170,MILLIE'S COFFEE SHOP,3524 W SUNSET BLVD,
171,ANDANTE COFFEE ROASTERS,2201 W SUNSET BLVD,4.0
172,LA AZTECA TORTILLERIA & RESTAURANT,4538 E CESAR E CHAVEZ AVE,4.5
174,THE PORTER JUNCTION CAFE,2350 PORTER ST,4.5
175,RESTAURANTE EL QUETZALITO,5406 S NORMANDIE AVE,
176,GUSHI,978 GAYLEY AVE,4.0
177,CARLS JR #212,1751 S SOTO ST,
180,SUBWAY #12484,5339 W CENTINELA AVE STE #A,
181,DONUT FARM,2609 W SUNSET BLVD,
182,PUPUSERIA CUSCATLAN,608 E 59TH ST,
183,SAWYER,3705 SUNSET BLVD,
186,AHIPOKI BOWL,5553 W SUNSET BLVD # 101,
187,COGNOSCENTI COFFEE,1118 SAN JULIAN ST,5.0
188,HANNAM CHAIN SNACK BAR,2740 W OLYMPIC BLVD,
189,HUNGRY HAROLD'S,3453 W SLAUSON AVE,
190,NEW ORLEANS FISH MARKET,2212 W VERNON AVE,4.0
192,JOHN SERVICE STATION,105 E EL SEGUNDO BLVD,
194,PEKING DUMPLING,2740 W OLYMPIC BLVD,4.0
195,MYUNG GA JJAM BONG,2740 W OLYMPIC BLVD # 4,
196,HUBERT'S LIQUOR STORE,4307 LEIMERT BLVD,
197,YOSHINOYA #1147,3959 WILSHIRE BLVD STE A3-A5,
198,"THIRTEEN SINCE 2017, INC.",2500 W 8TH ST # 108,
199,MARISCOS EL JATO,2936 E 4TH ST,4.0
200,THE ORCHARD,11444 W OLYMPIC BLVD,
201,MASHTI ICE CREAM,1525 N LA BREA AVE,
