,facility_name,facility_address,rating
13715,K-ROLL,3500 W 6TH ST # 228,
13717,CLIMEX PIZZA,1075 N WESTERN AVE # 105,
13718,VENICE BAKERY,10943 VENICE BLVD,
13734,PIZZA MOON,2619 S WESTERN AVE,
13735,NAVA'S MINI MARKET & FLOWER SHOP AND PARTY SUPPLIES,9420 FIGUEROA ST,
13748,CROCKER CAFE,921 CROCKER ST # C-21,
13752,FATBURGER,12005 WILSHIRE BLVD,
13753,55TH STREET MARKET,5428 S HOOPER AVE,
13760,BURGER KING #2547,1011 N WESTERN AVE,
13762,HIGHLAND THEATRE,5604 N FIGUEROA ST,
13768,BIG MAN BAKES,1111 S FIGUEROA ST,
13769,ORDONEZ MINI MARKET,1717 W VERNON AVE,
13770,BRONSON PETROLEUM,5857 W SUNSET BLVD,
13772,THE APPLE PAN,10801 W PICO BLVD,
13773,CHURCH'S FRIED CHICEKN #147,1811 W JEFFERSON BLVD,
13774,LA BREA BAKERY,100 WORLD WAY,
13779,SANZAB,7363 W SUNSET BLVD,
13781,TROPICANA JUICE BAR & DELI,5202 MONTE VISTA ST,
13782,YOSHINOYA BEEF BOWL,2850 CRENSHAW BLVD # #C,
13783,TONY'S MARKET,104 E AVENUE 40,
13784,VILLAGE INN RESTAURANT,3710 W MLK BLVD STE #121,
13792,LOS POBLANOS RESTAURANTE,1433 W JEFFERSON BLVD,
13794,NEKTAR KIOSK,100 WORLD WAY # TMP63,
13796,ORIGIN CAFE,8532 PICO BLVD,
13806,TORN BASIL,100 WORLD WAY,
13810,VIEN CAFE,6118 W PICO BLVD,
13811,HEARTY DELI,1618 CORINTH AVE,
13813,COFFEE COMMISSARY,6087 W SUNSET BLVD,
13820,PINKBERRY #78,100 WORLD WAY,
13847,KRISPY KRUNCHY CHICKEN,4448 W SLAUSON AVE,
13865,STARBUCKS #24851,2720 N GRIFFITH PARK BLVD,
13883,TIERRA MIA COFFEE COMPANY,1202 N ALVARADO ST #A,
13887,BONNIE B BAKERY,4442 W SLAUSON AVE,
13888,THE LIQUOR LOCKER,8161 W SUNSET BLVD,
13892,EL GOLAZO RESTAURANT,245 W MARTIN LUTHER KING JR BLVD,
13904,A&A LIQUOR,6200 W MANCHESTER AVE,
13905,GLADSTONE'S LAX,300 WORLD WAY,
13908,TAJ INDIA PALACE,8320 LINCOLN BLVD # 105,
13915,SMART & FINAL #310,1216 S COMPTON AVE,
13917,TIKAL MARKET,2508 S SAN PEDRO ST,
13924,NO. 1 NOODLE HOUSE,5161 POMONA BLVD STE 103,
13929,CLEMEN'S RESTAURANT,3551 S WESTERN AVE,
13930,LUCIA'S DISCOUNT STORE,2528 S SAN PEDRO ST,
13942,CVS PHARMACY #10433,6201 HOLLYWOOD BLVD # 126,
13943,YOSHINOYA #1249,4846 W PICO BLVD,
13944,TOSHI SUSHI,359 E 1ST ST,
13948,MR BOBA,3805 W 6TH ST,
13962,FROLIC ROOM,6245 HOLLYWOOD BLVD,
13963,DELICIOUS ARTS,10581 1/2 PICO BLVD,
13964,FRUIT TREE STORY,3663 W 6TH ST # G102,
13986,HOLLYVINE GIFTS & FOOD MART,6324 HOLLYWOOD BLVD,
14003,SHELL #299,605 E FLORENCE AVE,
14004,DOG HAUS,3335 S FIGUEROA ST #D,
14010,KOGI KING,1145 S WESTERN AVE,
14019,MEXICANO,3650 W MARTIN LUTHER KING BLVD # 127,
14020,SPECIALTY'S CAFE & BAKERY,2121 AVE OF STARS STE #100,
14021,HANKS LIQUOR,2026 E FIRESTONE BLVD,
14026,CVS/PHARMACY #9665,5994 N FIGUEROA ST,
14034,NUTRITION FOOD #3,1800 E FIRESTONE BLVD,
14047,TOM'S LIQUOR AND MARKET,1355 W FLORENCE AVE,
14053,SALOS MINI MARKET,4225 S HOOPER AVE,
14059,STARBUCKS #5244,8817 S SEPULVEDA BLVD,
14065,STARBUCKS COFFEE #14211,8844 S SEPULVEDA BLVD,
14069,LA PRIMERA MEAT MARKET,3425 E 1ST ST STE 123,
14070,ZEN BAKERY (RETAIL),10988 W PICO BLVD,
14085,ZUMA KITCHEN,1942 WESTWOOD BLVD,
14086,BOUTRO'S SHELL SERVICE,1520 SANTA FE ST,
14099,99 CENTS ONLY STORE #135,650 S ALVARADO ST,
14102,ASIAN FUSION,1710 S ROBERTSON BLVD,
14103,BOBA K-TOWN AND COFFEE,732 S VERMONT AVE,
14104,CALIFORNIA SCIENCE CTR IMAX,700 STATE DR,
14106,ALLAN'S JUGOS,305 E 9TH ST # 131,
14109,URBAN SOCIAL HOUSE,5220 HOLLYWOOD BLVD,
14114,REGENT CHINA INNC,739 N MAIN ST,
14116,MI CARNAL MARKET #2,128 E MARTIN LUTHER KING JR BLVD,
14117,MOBIL OIL,6600 W MANCHESTER AVE,
14123,RED BEAN,3525 W 8TH ST # 101,
14125,MAGPIES SOFTSERVE,2660 GRIFFITH PARK BLVD,
14135,LOEWS HOLLYWOOD HOTEL LB BAR,1755 N HIGHLAND AVE,
14137,7-ELEVEN,2600 N MAIN ST,
14142,CVS/PHARMACY #9626,1701 S WESTERN AVE,
14143,VOA PATHWAYS TO HOME SHELTER,3804 BROADWAY PL,
14145,TREE HOUSE LOUNGE,686 N SPRING ST # 202,
14146,FOOD 4 LESS #381,1717 S WESTERN AVE,
14160,SORULLOS DISCOUNT STORE,2609 N MAIN ST,
14189,CHINA EXPRESS,1901 E GAGE AVE,
14191,EL POLLO LOCO #5415,2801 S CRENSHAW BLVD,
14192,CHIPOTLE MEXICAN GRILL #1084,1077 BROXTON AVE,
14193,COFFEE TOMO,11309 MISSISSIPPI AVE,
14194,MP GAS,4169 W VENICE BLVD,
14195,ARDMORE LIQUOR,4056 W 3RD ST,
14204,DAILY CAFE,9045 LINCOLN BLVD,
14212,PINK ORCHID BAKERY & CAFE,1927 WESTWOOD BLVD,
14215,RUTT'S HAWAIIAN CAFE INC,12114 W WASHINGTON BLVD,
14219,NEW VERNON RANCHO MARKET,1713 E VERNON AVE STE #107,
14227,HAPPY DONUT,1242 E FLORENCE AVE,
14229,TOPANGA MARKET,1260 E FLORENCE AVE,
14230,DHC TRADING,640 N BROADWAY # 4,
14242,MI MAMA RESTAURANTE,2202 S HOOVER ST #B2,
14255,STARBUCKS COFFEE #5565,2215 WESTWOOD BLVD,
14256,EASTSIDE MARKET INC,1013 ALPINE ST,
14262,TAMALES Y TAQUERIA EL CERRITO,7831 S ALAMESA ST,
14269,7-ELEVEN # 16114B-2173,10834 SANTA MONICA BLVD,
14270,KB GAS MART,1009 S CRENSHAW BLVD,
14273,HEALTH LIFE,833 S WESTERN AVE,
14290,SHRINE AUDITIRIUM,649 W JEFFERSON BLVD,
14291,TAMS BROTHERS BURGER #11,4150 S BROADWAY,
14292,CENTURY CITY - 76,10389 SANTA MONICA BLVD,
14308,HANDY J CAR WASH,12681 W WASHINGTON BLVD,
14309,KEIKO GRILL,3650 MARTIN LUTHER KING JR BLVD STE 132,
14314,STORIES,1716 W SUNSET BLVD,
14316,IZABAL MEAT MARKET,5100 S MAIN ST,
14317,TAQUERIA LOS AMIGOS,1378 W SUNSET BLVD,
14318,"BERBERA,MANUEL",3416 E 1ST ST,
14325,ALL STAR FISH MARKET,7622 S CENTRAL AVE,
14333,BORICHON,3540 WILSHIRE BLVD STE M-6,
14338,BROADWAY SOCIAL CENTER,2205 N BROADWAY,
14341,CAFE CREOLE,3650 MARTIN LUTHER KING BLVD # 144,
14342,CJ MARKET,2801 N MAIN ST,
14355,FLYING STICKS,934 S LOS ANGELES # #8,
14358,XIOCHILT MARKET,4201 S BROADWAY,
14369,CENTURY MARKET,9816 S NORMANDIE AVE,
14372,BONITA MINI MARKET,9302 S NORMANDIE AVE,
14383,LAS PALMITAS FRUIT #1,3425 E 1ST ST STE 3423,
14384,PIZZA HUT #26149,718 S LOS ANGELES ST STE #C,
14386,J&Y LIQUOR INC,1551 W 8TH ST,
14387,COLIN FISH MARKET,4873 W ADAMS BLVD,
14388,MCDONALD'S # 5426,10451 SANTA MONICA BLVD,
14391,CHILBO MYUNOK,3500 W 6TH ST # 227,
14394,UN MUNDO DE SABOR,3425 E 1ST ST # 3419,
14396,MOUNTAIN RESTAURANT,3500 W 6TH ST # 222,
14402,BEVERAGES & MORE #121,10984 SANTA MONICA BLVD,
14408,JELLO LOS PEPES,3425 E 1ST ST STE 3427,
14419,MARTIN PHARMACY,801 S VERMONT AVE STE 104,
14420,OAXACA PANADERIA STO DOMINGO,3180 W PICO BLVD,
14437,SUBWAY,1625 W WASHINGTON BLVD,
14446,CHIN CHIN CAFE,11740 SAN VICENTE BLVD STE 202,
14447,GAUCHO GRILL,11754 SAN VICENTE BLVD,
14458,KATSUYA,11777 SAN VICENTE BLVD,
14472,CHALET EDELWEISS,8740 S SEPULVEDA BLVD,
14476,TACO LIMON,1925 CENTURY PARK E STE G,
14477,M & K MINI MARKET,4117 S CENTRAL AVE,
14478,CALIF PIZZA KITCHEN #12,330 S HOPE ST,
14495,LA PIZZA & MORE,252 S BROADWAY,
14506,EL GUERRERO MARKET,11416 S VERMONT AVE,
14512,IMPRESSO,1115 S HOPE ST,
14513,SUBWAY STORE #57912,1000 S HOPE ST #C,
14514,SANTA FE LUNCH STOP,1700 S SANTA FE AVE STE #130,
14525,K & K DONUTS,2101 W SUNSET BLVD,
14526,STEVIE'S CREOLE CAFE,5545 W PICO BLVD,
14527,BIG BEAR MINI MARKET,1510 S SANTA FE AVE,
14530,THE BAKERY NOSH,110 E 9TH ST STE B-203,
14539,HYGGE BAKERY,1106 S HOPE ST,
14540,BOK DUK BONG,476 N WESTERN AVE,
14547,MARADENTRO BRENTWOOD,1168 S BARRINGTON AVE # 101,
14548,W & B MEATS MARKET,4800 S SAN PEDRO ST,
14553,RED CORNER ASIA,5267 W HOLLYWOOD BLVD,
14562,ANTONJITOS PUEBLA SNACK SHOP #2,435 S LOS ANGELES ST,
14563,THE LA HOTEL DOWNTOWN,333 S FIGUEROA ST,
14568,KECK HOSPITAL OF USC,1500 SAN PABLO ST,
14570,BIONICOS  GENESIS,560 S LOS ANGELES ST STE #35,
14595,2 FOR 1 PIZZA CO,4707 S BROADWAY,
14606,FANCIFULL GIFT BASKETS,5617 MELROSE AVE,
14607,TAVERN,11648 SAN VICENTE BLVD,
14609,DAN'S DELI,300 S GRAND AVENUE LOW PLAZA 35,
14615,BURGER BAR,350 S FIGUEROA ST STE 169,
14627,YUKO KITCHEN,101 W 5TH ST,
14628,HI HO MARKET,1401 GLENDALE BLVD,
14633,SUBWAY  60937,425 S LOS ANGELES ST STE F,
14644,MARKETPLACE-EMBASSY SUITES,9801 AIRPORT BLVD,
14645,SHALOM PRODUCE,7222 W SUNSET BLVD,
14646,MICHAEL J'S PIZZERIA AND BAR,643 N SPRING ST,
14661,LOS ALONDRA'S BAKERY,4118 S CENTRAL AVE,
14665,THE LANDMARK: THE WINE BAR,10850 W PICO BLVD # 502,
14693,PANADERIA MI GUATEMALA,4701 S NORMANDIE AVE,
14694,THE BRIKS,1111 S HOPE ST # #110,
14700,LE MANDARETTE,1651 W LA BREA AVE,
14725,EZ STOP LIQUOR,2135 N SAN FERNANDO RD,
14738,MOTHERS AND BABIES NUTRITION,4269 S VERMONT AVE,
14751,"GASTRONOMIC SCIENCES LAB, INC.",1809 E 7TH ST,
14755,SPEAR STEAK & SEAFOOD HOUSE,800 W 6TH ST,
14756,VIVA BARGAIN,4365 S VERMONT AVE,
14761,ADASSA'S ISLAND CAFE&ENTERTA,4305 DEGNAN BLVD STE 103,
14771,ESAAN A TASTE OF THAI,601 W 5TH ST STE 102,
14776,SIXTH ST TAVERN,630 W 6TH ST # 116BC,
14791,LITTLE CAESAR,5857 S CENTRAL AVE STE 110,
14792,FOOD,10571 W PICO BLVD,
14799,DOLLAR TREE # 4949,2850 E OLYMPIC BLVD,
14804,BON BON BERRY,1848 WESTWOOD BLVD,
14807,MINI CAFE 2 GO,12424 WILSHIRE BLVD STE 160,
14808,ELITE FRESH FISH,8730 W PICO BLVD,
14809,HOKE POKE,801 S HOPE ST # B,
14822,DULCERIA EL FARO,4433 ALAMEDA ST,
14823,CNBC,200 WORLD WAY # 228,
14824,C & C MARKET,3300 E 8TH ST,
14826,MAMA CELIA'S KITCHEN,5907 W HOLLYWOOD BLVD,
14835,WI JAMMIN MARKET,1363 REDONDO BLVD,
14836,SONIA'S DISCOUNT STORE PLUS,2210 W JEFFERSON BLVD,
14837,LUXE SUNSET BOULEVARD HOTEL,11461 W SUNSET BLVD,
14838,HABAYIT RESTAURANT,11921 W PICO BLVD,
14847,STARBUCKS 22477,2675 E OLYMPIC BLVD,
14849,LAS AMIGAS,830 S SAN JULIAN ST,
14857,GUADALUPE MINI-MARKET,4433 S ALAMEDA ST D-5C,
14858,GREEN FARM NUTRITION,4972 W PICO BLVD # 104B,
14859,MR. DOLLAR,2121 S SAN PEDRO ST STE D,
14860,OFELIA'S MINI MARKET,2910 S SAN PEDRO ST,
14876,HANNA'S SHELL SERVICE,1410 SOTO ST,
14891,CVS/PHARMACY #8892,5822 S VERMONT AVE,
14897,99 CENT AND MARKET MATAMORO,5859 S COMPTON AVE,
14898,SUGAR SOCIETY,2633 S ROBERTSON BLVD,
14903,JANGGUN BBQ,698 S VERMONT AVE STE 111,
14915,CHANDARA RESTAURANT,11940 W PICO BLVD,
14916,TEN YO ENTERPRISE INC,727 N BROADWAY STE #136,
14917,NAGILA MEAT PL,9407 W PICO BLVD,
14918,NAGILA PIZZA,9411 W PICO BLVD,
14920,TACO PETE #3,12007 S CENTRAL AVE,
14922,SAITO'S SUSHI,4339 W SUNSET BLVD,
14928,CARNICERIA LA GLORIA,4501 S ALAMEDA ST # 701,
14929,HOTEL ANGELENO CAFE,170 N CHURCH LN,
14930,BIG SAVER FOOD MARKET,5829 S COMPTON AVE,
14945,CHIQUACLE RESTAURANT,103 PASEO DE LA PLAZA ST,
14947,J BARGAIN,6030 S COMPTON AVE,
14948,SHANGHAI DIAMOND GARDEN,9401 W PICO BLVD,
14950,PARTY CITY,2480 S SEPULVEDA BLVD,
14959,SCOOPS ON YORK,5105 E YORK BLVD,
14963,EL HABANERO LATINO,752 S VERMONT AVE,
14967,EASTLAKE MARKET,2000 EASTLAKE AVE,
14968,IL PICCOLO VERDE,140 S BARRINGTON PL,
14969,VERMONT SHELL,341 N VERMONT AVE,
14981,MORNING NIGHTS,1523 GRIFFITH PARK BLVD,
14989,PANADERIA & PASTELERIA EL,2922 N BROADWAY,
14990,MEXI KOSHER,8832 W PICO BLVD,
15001,TIERRA MIA COFFEE COMPANY,653 S SPRING ST,
15006,MOM'S BBQ,1050 W IMPERIAL HWY,
15015,UNITED AIR INTL 1ST CLASS LN,700 WORLD WAY # T7,
15017,UNITED AIR RED CARPET LOUNGE,700 WORLD WAY,
15025,SMART & FINAL #511,2511 DALY ST,
15026,OLSON'S DELICATESSEN,5662 W PICO BLVD,
15041,88 CHINESE & SUSHI,418 1/2 N FAIRFAX AVE,
15083,MESA BRAZILIAN EATERY,10917 LINDBROOK DR,
15084,GLATT WESTERN KOSHER,444 N FAIRFAX AVE,
15099,KWOK LOAN Y,1033 W ALPINE ST,
15110,7-ELEVEN #19399,1665 S ROBERTSON BLVD,
15118,HAHAHA INC.,1865 E 97TH ST,
15121,CARNICRIA LA OASAQUENA 2,2129 W 8TH ST,
15137,PIRATA'S BAKERY,3016 E WHITTIER BLVD,
15141,MCDONALD'S #3100,1617 EASTERN AVE,
15143,7-ELEVEN,1916 S SAN PEDRO ST,
15144,LOS PATITOS,2010 W PICO BLVD # 1,
15157,OISHI TERYAKI,1830 W 8TH ST,
15171,PLAYBOY LIQUOR,6435 YUCCA ST,
15175,RITE AID #05430,446 E WASHINGTON BLVD,
15183,ERIKA'S PALACE,763 S KERN AVE,
15185,BURGER KING #12576,1540 N EASTERN AVE,
15193,SPRING STREET SMOKEHOUSE,640 N SPRING ST,
15195,BELASCO BAR#3,1050 S HILL ST,
15211,BEVERLY MART LIQUOR,4003 W BEVERLY BLVD,
15214,MAVERICK'S FLAT,4225 S CRENSHAW BLVD,
15225,URBAN GARDEN,7563 BEVERLY BLVD,
15239,PITFIRE PIZZA COMPANY,108 W 2ND ST #105 -106,
15259,AN DONG KOOK SI,3500 W 6TH ST STE #223,
15262,SUBWAY SANDWICH,8511 VENICE BLVD,
15265,LA BELLITA BAKERY Y PIZZA,2734 N EASTERN AVE,
15269,SOY SAUCE ROLL & BOWL,7131 W SUNSET BLVD # B,
15317,TONY'S BRUGER 2,649 S WALL ST STE,
15318,FRANKLIN 76,6051 FRANKLIN AVE,
15319,RED SHELL FOODS,2725 HYPERION AVE,
15320,FOLLET BOOKESTORE #3026,1 LMU DR,
15339,DEUNG CHON SHABU & NOODLE MR'S KIMS  DOKGALBI,2585 W OLYMPIC BLVD,
15340,GNC,8907 SEPULVEDA BLVD,
15341,NAMASTE KITCHEN LA,980 S SAN PEDRO ST,
15359,BON APPETIT MANAGEMENT CO,555 S FLOWER ST # 13FL,
15377,THE ECONOMIST,380 WORLD WAY T24,
15378,MARTY'S SANDWICH STAND,10558 W PICO BLVD,
15380,DONA MARY RESTAURANT,1901 S ALAMEDA ST,
15383,POK POK,978 S BROADWAY,
15386,EL TROQUERO BAR,2119 E CESAR E CHAVEZ AVE,
15395,COPELLIA'S,10825 VENICE BLVD,
15412,WINDWARD SCHOOL SNACK BAR,3481 SAWTELLE BLVD,
15414,AROMA CAFE,2530 OVERLAND AVE,
15415,THE HILL CAFE,632 S HILL ST,
15430,LA BAKING CO,2108 N BROADWAY,
15435,99 CENTS ONLY STORE #001,6854 LA TIJERA BLVD,
15441,EOBUBA-KARAOKE,3609 W PICO BLVD,
15451,MORSY FARMS,6900 S CENTRAL AVE,
15456,ROLL CAKE FACTORY INC.,936 N WESTERN AVE,
15466,THE CHICKEN OR THE EGG,12150 MILLENIUM DR # P101,
15468,PHILLIPS B B Q,4307 LEIMERT BLVD,
15486,BEVERLY CHIKEN,3909 BEVERLY BLVD,
15501,SUSHI IPPO,3800 WILSHIRE BLVD STE F100,
15520,WABA GRILL,1907 S ALAMEDA ST # 101,
15521,7-ELEVEN #18534-C,5763 HOLLYWOOD BLVD,
15523,SINGAPORE'S BANANA LEAF,6333 W 3RD ST STE 122,
15538,GOLDEN CITY RESTAURANT,960 N HILL ST,
15543,MASTER DISCOUNT,1410 E FLORENCE AVE,
15553,LEE'S LIQUOR,1800 W 6TH ST STE #7,
15559,UNIQUE THAI RESTAURANT,1924 W OLYMPIC BLVD,
15569,BEN'S MARKET,2424 W 6TH ST,
15580,MY VERMONT LIQUOR,10537 S VERMONT AVE,
15583,BIONICOS DAISYS,2010 W PICO BLVD STE 5,
15586,SUPER SALUD LIQUOR & MARKET,625 N MEDNIK AVE,
15588,UPWARD BOUND HOUSE SHELTER,12841 W WASHINGTON BLVD,
15598,LA CONVENTION CENTER,1201 S FIGUEROA ST,
15601,LOS GUERITOS #3,1217 WALL ST #6,
15602,FOUNTAIN MARKET & LIQUOR,5203 FOUNTAIN AVE # A,
15617,TONYS LIQUOR,4485 W PICO BLVD,
15618,LUCILLE'S SMOKEHOUSE BARBQUE,6000 SEPULVEDA BLVD,
15619,NEW JAPAN,11283 SANTA MONICA BLVD,
15620,SHAYAN EXPRESS RESTAURANT,945 S WALL ST STE #6,
15621,BIG 5 SPORTING GOODS #11,6601 WILSHIRE BLVD,
15630,BELLY & SNOUT,974 S WESTERN AVE A & C,
15643,WESTSIDE ARCO NO 2 AM-PM,3479 MOTOR AVE,
15644,MARISCOS & VIENTOS #4,1412 S LORENA ST,
15664,MELROSE 76,4600 MELROSE AVE,
15665,BETO'S MARKET,2252 W VENICE BLVD,
15674,WALGREENS #12881,460 S BROADWAY,
15679,LA MEXICANA MEAT MARKET,5392 POPLAR BLVD,
15683,4 CAMINOS RESTAURANT,1614 1/2 W 6TH ST,
15690,RITE AID #5429,500 S BROADWAY,
15694,BLUE PLATE OYSTERETTE,8048 W 3RD ST,
15703,ABSOLUTE CAVIAR,7512 W SUNSET BLVD,
15704,LAVOO LOUNGE,8108 W 3RD ST,
15720,LITTLE CEASARS  2051-0002,11870 SANTA MONICA BLVD,
15721,PAPA JOHN'S PIZZA,1301 WESTWOOD BLVD,
15730,THE CHURCHILL,8384 W 3RD ST,
15736,BARGAIN ESPECIAL,4752 E WHITTIER BLVD,
15738,CLUCK'S CHICKEN MARKET,12003 AVALON BLVD STE 106,
15777,7- ELEVEN STORE #39763A,3079 N SAN FERNANDO RD,
15778,COLD STONE CREAMERY,10875 W PICO BLVD,
15783,BROADWAY TACO,6707 S BROADWAY,
15786,HOKKAIDO SEAFOOD BUFFET,10850 W PICO BLVD #2,
15793,BOARDWALK 11,10433 NATIONAL BLVD,
15820,FRUIT AND COFFEE,1000 MAPLE AVE # 6,
15834,DEB'S DELIGHTS,6031 VENICE BLVD,
15855,WALEE,735 E 12TH ST STE #409,
15860,JOHN'S PIZZERIA,8823 W PICO BLVD,
15861,CLUB TEE GEE,3208 GLENDALE BLVD,
15875,SOUTHLAND BEER,740 S WESTERN AVE STE 112,
15882,COFFEE HOUSE,772 S MAPLE AVE,
15885,LOCALITA & THE BADASSERIE,817 S LOS ANGELES ST LBBY LOBBY,
15892,MAX LIQUOR,2130 SAWTELLE BLVD STE 114,
15908,CVS/PHARMACY #9666,2419 WORKMAN ST,
15919,PANDA GARDEN CHINESE FAST FOOD,1211 S SOTO ST,
15922,DAILY DOSE RG,1820 INDUSTRIAL ST STE 104,
15923,STARBUCKS,1969 ZONAL AVE,
15924,LA'S NEW YORK CITY DELI,843 S LOS ANGELES ST,
15931,LUCY'S DRIVE IN,1300 W WASHINGTON BLVD,
15946,SMOKE.OIL.SALT,7274 MELROSE AVE,
15947,SMART & FINAL #330,10113 VENICE BLVD,
15994,TAMS # 35,6225 S SAN PEDRO ST,
16004,UNION 99 CENTS,2304 S UNION AVE,
16032,METRO GLATT KOSHER,8975 W PICO BLVD,
16033,DRAGON LOCO,1011 W FLORENCE AVE,
16038,7-ELEVEN #37062A,7117 S VERMONT AVE,
16039,SERVICE STATION OF THE STARS,9448 W PICO BLVD,
16040,THE BELIZEAN FISH MARKET,2640 1/2 S WESTERN AVE,
16055,TACOS EL PAISA,5234 VALLEY BLVD,
16059,"HIZAMI,ISHAI J",2807 S FIGUEROA ST,
16066,VANILLA BAKESHOP,380 WORLD WAY T55,
16068,STARBUCKS,380 WORLD WAY T51,
16077,VERMONT FUEL,2202 S VERMONT AVE,
16079,HOLLYWOOD REPORTER,380 WORLD WAY,
16080,PERFECT PITA,6319 HOLLYWOOD BLVD,
16086,STARBUCKS EVENING,380 WORLD WAY T61,
16094,LILY'S PRODUCE,9006 COMPTON AVE,
16096,DUTY FREE,380 WORLD WAY,
16102,EL POLLO LOCO/FOSTERS,5151 STATE UNIVERSITY DR,
16107,WASABI JPANESE NOODLE HSE#2,3183 WILSHIRE BLVD STE 186,
16114,VERMONT CAR WASH,1666 N VERMONT AVE,
16133,DAISY'S MARKET,3214 W SUNSET BLVD,
16134,METRO FRESH,3183 WILSHIRE BLVD STE 173,
16137,JUAN'S ROTISSERIE CHICKEN #2,223 S MEDNIK AVE,
16148,XL BARGAIN,258 E ADAMS BLVD # 107,
16150,LA MEAT MARKET,2015 S GRIFFITH AVE,
16154,STARBUCKS COFFEE #5577,6066 W OLYMPIC BLVD # D,
16156,MENCHITA DISCOUNT,1606 BEVERLY BLVD,
16169,CORNER CAFE,6100 CENTER DR # #101,
16170,FOODINK,1105 S LA BREA AVE,
16183,OLYMPIA MED CTR CAFETERIA,5900 W OLYMPIC BLVD,
16184,MARISCOS MANZANILLOS,2124 E NADEAU ST,
16188,HAPPY BABY NUTRITION,1627 W PICO BLVD,
16193,CHERRY ON TOP,333 S ALAMEDA ST STE 104,
16201,LA CARIDAD,2619 W SUNSET BLVD,
16203,SUPER HEALTH INSTITUTE,333 S ALAMEDA ST STE #202,
16204,PATA SALADA,672 S LA BREA AVE,
16208,DOLLAR TREE #4201,4953 WHITTIER BLVD,
16215,99 CENTS ONLY STORE #013,1516 W PICO BLVD,
16220,RAMEN YAMADAYA,1248 WESTWOOD BLVD,
16229,AMIGOS MARKET,2609 W TEMPLE ST,
16233,LOS TRES AMIGOS MARKET,1517 1/2 W 6TH ST,
16237,VITAMIN WORLD #4945,2700 COLORADO BLVD,
16238,LA POTOSINA MEATS INC,4211 E OLYMPIC BLVD,
16253,ANNEX LIQUOR,1607 W 6TH ST,
16258,CARIBBEAN MARKET,1425 NADEAU ST,
16268,BO NUAGE,8010 MELROSE AVE,
16272,CAMBONESE EXPRESS,2331 E 4TH ST,
16275,GNC C#257,2700 COLORADO BLVD,
16276,HALFWAY CLUBHOUSE GRIFFITH,4730 CRYSTAL SPRINGS DR,
16277,MARK'S LIQUOR,1259 W 6TH ST,
16278,CRAVINGS,10850 WILSHIRE BLVD STE 102,
16286,IPIC THEATER,10840 WILSHIRE BLVD,
16288,TROJANS LIQUOR,3000 S VERMONT AVE,
16290,TAKE A BAO,10250 SANTA MONICA BLVD FC 15,
16291,MARKET PLUS,6010 W FOUNTAIN AVE,
16293,AZTECA 99 CENTS PLUS MARKET CORPORATION,1662 1/2 E 41ST ST,
16297,EDIBLE ARRANGEMENTS,6100 N FIGUEROA ST STE #B,
16302,DULCE RINA HALL,1621 W BEVERLY BLVD,
16309,BOTTLE ROCK,1050 S FLOWER ST STE 167,
16313,COFFEE GRAM,1243 S ALVARADO AVE # B-1,
16322,LUCKY SEVEN MARKET,4605 E CESAR  CHAVEZ AVE,
16327,YUM YUM DONUTS #9198D,4503 N FIGUEROA ST,
16329,POKE ME,1244 WESTWOOD BLVD,
16345,BIRRIERIA CARDENAS,1764 E NADEAU ST,
16346,LUCKY'S MARKET,3125 BEVERLY BLVD,
16348,DONUT KING,1119 N WESTERN ST #1,
16364,OZU EAST KITCHEN,3224 GLENDALE BLVD,
16370,VILLAGE KITCHEN,1667 BEVERLY BLVD,
16373,LITTLE BAR,757 S LA BREA AVE,
16387,HARD TIMES PIZZA,1311 N GLENDALE BLVD STE #G,
16389,ROBERTS MARKET,5744 W MANCHESTER BLVD,
16395,BIANCONI,8338 W 3RD ST,
16405,SMART & FINAL,2929 S CRENSHAW BLVD,
16415,MCDONALD'S # 2818,4480 E OLYMPIC BLVD,
16419,FLETCHER CHEVRON,3100 N SAN FERNANDO RD,
16421,THE HOME DEPOT #6616,5600 W SUNSET BLVD,
16423,CHRISTIAN FOOD CENTER,1101 E WASHINGTON BLVD,
16429,TABULA RASA BAR,5125 HOLLYWOOD BLVD,
16437,LA IDEAL MARKET,1206 CYPRESS AVE,
16471,CHAPINLANDIA BAKERY,2420 W 6TH ST,
16472,CANTON CHEF EXPRESS,4934 W PICO BLVD,
16475,CALIFORNIA WINGS CAFE,1649 N CAHUENGA BLVD,
16489,"ORCHARD SUPPLY COMPANY, LLC",415 S LA BREA AVE,
16493,WAFFLEJACK,6801 HOLLYWOOD BLVD # 307,
16494,PLAZA CAFE,8700 BEVERLY BLVD,
16495,THE SNACK CORNER,8635 W 3RD ST # 375W,
16514,SUNNY GROCERY STORE,2915 OLYMPIC BLVD,
16515,MI INDIA BONITA,4731 E OLYMPIC BLVD,
16526,WALGREENS #09285,5843 W PICO BLVD,
16528,PEPE'S BAR,5151 MELROSE AVE,
16533,"MI TIENDA MEATS, INC.",1209 CYPRESS AVE,
16542,"DOLLAR TREE STORES, INC",1007 CYPRESS AVE,
16551,CAFE MED,10833 LE CONTE AVE,
16553,LA VICTORIA MARKET,1900 CYPRESS AVE,
16555,ACAPULCO RESTAURANT,4444 W SUNSET BLVD,
16569,FRATELLI CAFE,7200 MELROSE AVE,
16571,CAFE BRENTWOOD,150 S BARRINGTON AVE,
